Student,ID,SIS User ID,SIS Login ID,Section,Assignment 1 (10),Assignment 2 (15),Quiz 1 (20),Discussion 1 (5),Midterm Exam (100),Assignment 3 (10),Quiz 2 (25),Discussion 2 (5),Final Project Draft (30),Current Score,Final Grade,Last Activity,Total Activity Time (mins)
"Smith, John",12345,john.smith@university.edu,jsmith,PSYC101-01,8,12,18,5,85,9,22,4,25,85.2,B,2024-03-15,245
"Johnson, Maria",12346,maria.johnson@university.edu,mjohnson,PSYC101-01,10,15,20,5,92,10,25,5,28,95.1,A,2024-03-18,312
"Brown, David",12347,david.brown@university.edu,dbrown,PSYC101-01,6,8,12,3,65,4,15,2,18,62.8,D,2024-03-10,89
"Wilson, Sarah",12348,sarah.wilson@university.edu,swilson,PSYC101-01,9,14,19,5,88,8,23,5,27,89.3,B+,2024-03-17,278
"Davis, Michael",12349,michael.davis@university.edu,mdavis,PSYC101-01,7,10,14,4,72,6,18,3,20,69.5,C-,2024-03-12,156
"Miller, Jessica",12350,jessica.miller@university.edu,jmiller,PSYC101-01,5,7,10,2,58,3,12,2,15,54.2,F,2024-03-08,67
"Taylor, Robert",12351,robert.taylor@university.edu,rtaylor,PSYC101-01,9,13,17,5,86,9,21,4,26,87.4,B+,2024-03-16,289
"Anderson, Lisa",12352,lisa.anderson@university.edu,landerson,PSYC101-01,10,15,20,5,94,10,25,5,30,97.2,A,2024-03-18,325
"Thomas, James",12353,james.thomas@university.edu,jthomas,PSYC101-01,4,6,9,2,52,2,10,1,12,48.3,F,2024-03-05,43
"Jackson, Amanda",12354,amanda.jackson@university.edu,ajackson,PSYC101-01,8,11,16,4,78,7,19,4,23,78.6,C+,2024-03-14,198
"White, Kevin",12355,kevin.white@university.edu,kwhite,PSYC101-01,6,9,13,3,68,5,16,3,19,66.1,D+,2024-03-11,134
"Harris, Emily",12356,emily.harris@university.edu,eharris,PSYC101-01,9,14,18,5,89,9,24,5,28,91.2,A-,2024-03-17,301
"Martin, Chris",12357,chris.martin@university.edu,cmartin,PSYC101-01,3,5,8,1,45,1,8,1,10,41.7,F,2024-03-03,28
"Thompson, Nicole",12358,nicole.thompson@university.edu,nthompson,PSYC101-01,8,12,15,4,81,8,20,4,24,82.1,B-,2024-03-15,234
"Garcia, Daniel",12359,daniel.garcia@university.edu,dgarcia,PSYC101-01,7,11,14,3,74,6,17,3,21,72.8,C,2024-03-13,176
"Martinez, Ashley",12360,ashley.martinez@university.edu,amartinez,PSYC101-01,10,14,19,5,91,10,24,5,29,94.3,A,2024-03-18,318
"Robinson, Tyler",12361,tyler.robinson@university.edu,trobinson,PSYC101-01,5,8,11,2,61,4,13,2,16,58.9,F,2024-03-09,72
"Clark, Stephanie",12362,stephanie.clark@university.edu,sclark,PSYC101-01,8,13,17,4,84,8,22,4,26,86.7,B,2024-03-16,267
"Rodriguez, Alex",12363,alex.rodriguez@university.edu,arodriguez,PSYC101-01,6,10,13,3,70,5,15,3,19,68.4,D+,2024-03-12,142
"Lewis, Megan",12364,megan.lewis@university.edu,mlewis,PSYC101-01,9,15,18,5,87,9,23,5,27,90.1,A-,2024-03-17,295
